id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,tahun,jumlah_kasus_meninggal,jenis_kelamin_encoded,mortality_rate,case_fatality_rate
446,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,365,2022,5,1,0.0136986301369863,1.36986301369863
447,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,712,2022,5,0,0.007022471910112359,0.7022471910112359
448,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,762,2022,10,1,0.013123359580052493,1.3123359580052494
449,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,948,2022,7,0,0.007383966244725738,0.7383966244725738
450,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,867,2022,4,1,0.00461361014994233,0.461361014994233
451,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,325,2022,3,0,0.009230769230769232,0.9230769230769231
452,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,316,2022,2,1,0.006329113924050633,0.6329113924050633
453,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,1124,2022,4,0,0.0035587188612099642,0.3558718861209964
454,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1062,2022,13,1,0.01224105461393597,1.2241054613935969
455,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,190,2022,3,0,0.015789473684210527,1.5789473684210527
456,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,180,2022,2,1,0.011111111111111112,1.1111111111111112
457,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,491,2022,5,0,0.010183299389002037,1.0183299389002036
458,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,504,2022,5,1,0.00992063492063492,0.992063492063492
459,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,210,2022,0,0,0.0,0.0
460,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,202,2022,1,1,0.0049504950495049506,0.49504950495049505
461,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,732,2022,5,0,0.006830601092896175,0.6830601092896175
462,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,588,2022,8,1,0.013605442176870748,1.3605442176870748
463,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,533,2022,0,0,0.0,0.0
464,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,476,2022,2,1,0.004201680672268907,0.42016806722689076
465,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,628,2022,5,0,0.007961783439490446,0.7961783439490446
466,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,632,2022,9,1,0.014240506329113924,1.4240506329113924
467,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,252,2022,0,0,0.0,0.0
468,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,250,2022,0,1,0.0,0.0
